Gender,Dependent_Count,Marital_Status,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Attrition_Flag
M,3,Married,Blue,5,1,3,1.335,42,1.625,Existing Customer
F,5,Single,Blue,6,1,2,1.541,33,3.714,Existing Customer
M,3,Married,Blue,4,1,0,2.594,20,2.333,Existing Customer
F,4,Unknown,Blue,3,4,1,1.405,20,2.333,Existing Customer
M,3,Married,Blue,5,1,0,2.175,28,2.5,Existing Customer
M,2,Married,Blue,3,1,2,1.376,24,0.846,Existing Customer
M,4,Married,Gold,6,1,3,1.975,31,0.722,Existing Customer
M,0,Unknown,Silver,2,2,2,2.204,36,0.714,Existing Customer
M,3,Single,Blue,5,2,0,3.355,24,1.182,Existing Customer
M,2,Single,Blue,6,3,3,1.524,32,0.882,Existing Customer
M,5,Unknown,Blue,5,3,2,0.831,42,0.68,Existing Customer
M,1,Married,Blue,6,2,3,1.433,26,1.364,Existing Customer
M,1,Single,Blue,3,6,0,3.397,17,3.25,Existing Customer
M,3,Unknown,Blue,5,1,3,1.163,33,2,Existing Customer
F,2,Married,Blue,5,2,2,1.19,29,0.611,Existing Customer
M,4,Unknown,Blue,5,1,2,1.707,27,1.7,Existing Customer
M,4,Single,Blue,6,2,3,1.708,27,0.929,Existing Customer
M,3,Married,Blue,4,4,1,0.653,21,1.625,Existing Customer
M,1,Married,Blue,2,2,3,1.831,30,1.143,Existing Customer
F,2,Married,Blue,6,1,2,0.966,21,0.909,Existing Customer
M,1,Divorced,Blue,5,2,0,0.906,27,0.929,Existing Customer
F,0,Married,Blue,2,3,3,1.047,16,0.6,Attrited Customer
M,3,Married,Blue,4,2,1,1.608,18,1.571,Existing Customer
F,4,Single,Blue,3,3,2,0.573,23,0.353,Existing Customer
M,2,Married,Blue,4,2,3,1.075,21,0.75,Existing Customer
F,3,Single,Blue,6,1,2,0.797,22,0.833,Existing Customer
M,1,Unknown,Blue,4,1,2,0.921,23,1.3,Existing Customer
M,1,Married,Blue,3,3,2,0.843,40,1,Existing Customer
F,3,Single,Blue,5,2,2,0.525,18,1.571,Existing Customer
M,4,Married,Blue,6,0,0,0.739,38,0.9,Existing Customer
M,3,Married,Blue,3,2,3,0.977,25,2.571,Existing Customer
M,2,Married,Blue,2,5,1,1.323,26,1.6,Existing Customer
M,4,Married,Blue,4,1,2,1.726,24,1.667,Existing Customer
F,2,Married,Blue,5,2,3,1.75,28,1,Existing Customer
M,0,Married,Blue,6,2,2,0.519,24,0.714,Existing Customer
F,1,Single,Blue,4,2,1,0.51,43,0.483,Existing Customer
F,3,Married,Blue,6,2,3,1.724,37,1.176,Existing Customer
F,4,Married,Gold,2,3,3,0.865,22,1.2,Existing Customer
F,1,Unknown,Blue,3,3,2,1.32,28,0.556,Existing Customer
F,0,Married,Blue,5,4,3,1.052,16,0.143,Attrited Customer
M,3,Single,Blue,2,2,2,1.042,28,0.474,Existing Customer
M,2,Married,Blue,4,1,0,0.803,28,0.556,Existing Customer
F,1,Single,Silver,3,2,3,1.449,33,1.2,Existing Customer
M,3,Married,Blue,5,2,1,1.214,32,1,Existing Customer
F,4,Single,Blue,2,3,3,0.977,23,0.917,Existing Customer
M,4,Single,Blue,3,2,3,1.621,28,1.333,Existing Customer
M,2,Married,Blue,6,2,0,2.316,27,0.588,Existing Customer
M,1,Married,Blue,3,2,2,2.357,27,1.7,Existing Customer
M,3,Married,Blue,4,3,3,0.787,27,0.8,Existing Customer
M,1,Single,Blue,5,1,1,0.624,40,0.6,Existing Customer
F,3,Married,Blue,6,3,2,1.321,30,1.143,Existing Customer
F,1,Married,Blue,2,3,1,0.997,19,0.9,Attrited Customer
F,0,Married,Blue,3,4,2,1.224,38,1.923,Existing Customer
M,2,Married,Blue,4,2,0,0.664,35,0.25,Existing Customer
M,2,Married,Blue,1,3,3,1.041,15,0.364,Attrited Customer
F,4,Unknown,Blue,6,4,2,0.678,32,0.6,Existing Customer
F,3,Single,Blue,2,2,0,0.75,40,0.6,Existing Customer
M,2,Married,Blue,4,2,3,1.107,29,1.417,Existing Customer
F,5,Married,Blue,4,1,2,2.275,25,1.083,Existing Customer
M,2,Single,Blue,4,4,3,0.69,27,1.25,Existing Customer
M,3,Married,Blue,4,2,3,0.901,33,0.833,Existing Customer
M,2,Married,Silver,2,4,4,0.763,15,0.5,Attrited Customer
M,1,Divorced,Blue,5,3,3,0.944,28,1.154,Existing Customer
M,4,Single,Blue,2,4,2,0.997,26,0.733,Existing Customer
M,2,Single,Blue,4,2,2,0.989,23,0.917,Existing Customer
M,4,Single,Silver,4,1,4,0.592,32,0.6,Existing Customer
M,2,Married,Blue,5,3,3,0.62,35,0.667,Existing Customer
F,2,Single,Blue,6,3,3,1.004,28,0.556,Existing Customer
M,2,Married,Blue,2,2,2,1.715,17,2.4,Existing Customer
M,2,Married,Blue,6,2,2,1.072,15,2,Existing Customer
M,4,Single,Blue,3,2,3,1.266,41,1.05,Existing Customer
F,2,Married,Blue,5,3,3,0.758,36,0.286,Existing Customer
M,1,Unknown,Blue,4,2,3,0.769,21,0.4,Existing Customer
M,5,Married,Blue,6,2,2,0.414,35,0.522,Existing Customer
M,1,Single,Blue,3,3,3,1.312,24,1.182,Existing Customer
M,2,Single,Blue,5,3,2,0.857,33,0.435,Existing Customer
F,4,Single,Blue,6,4,2,0.475,23,1.875,Existing Customer
F,3,Single,Blue,4,4,2,0.751,57,0.966,Existing Customer
M,3,Divorced,Blue,6,1,2,0.703,23,0.353,Existing Customer
M,2,Married,Blue,6,3,2,0.85,35,0.4,Existing Customer
M,3,Married,Blue,4,4,0,1.242,41,1.412,Existing Customer
M,1,Unknown,Blue,6,2,2,0.924,29,0.526,Existing Customer
F,4,Married,Blue,2,4,3,0.585,12,0.714,Attrited Customer
F,1,Married,Blue,2,3,3,0.383,20,0.818,Existing Customer
M,1,Divorced,Blue,5,4,2,1.129,27,2,Existing Customer
M,2,Married,Blue,5,3,0,0.921,35,0.667,Existing Customer
M,2,Single,Blue,4,2,1,0.607,31,0.722,Existing Customer
F,3,Single,Blue,5,2,3,0.483,32,0.6,Existing Customer
M,3,Single,Blue,4,3,1,1.932,14,1.8,Existing Customer
M,2,Married,Blue,5,3,3,1.702,29,1.636,Existing Customer
F,2,Single,Blue,3,2,2,0.731,21,1.333,Existing Customer
M,4,Single,Blue,4,3,0,0.875,35,2.182,Existing Customer
M,1,Single,Blue,4,4,3,0.579,34,0.619,Existing Customer
M,0,Single,Blue,5,4,1,0.85,29,0.933,Existing Customer
F,3,Married,Blue,5,1,2,1.705,20,1.222,Existing Customer
M,1,Married,Blue,6,4,3,1.656,32,0.882,Existing Customer
M,3,Married,Blue,5,4,2,0.597,30,0.304,Existing Customer
M,3,Married,Blue,5,3,2,1.047,42,0.68,Existing Customer
M,3,Married,Blue,3,2,0,0.576,19,0.727,Existing Customer
M,2,Married,Blue,2,3,3,0.696,18,0.385,Attrited Customer
F,3,Single,Blue,4,4,0,0.619,22,1,Existing Customer
F,3,Married,Silver,5,3,3,1.034,26,0.733,Existing Customer
M,3,Married,Blue,6,2,2,0.562,33,0.5,Existing Customer
F,2,Single,Blue,3,3,3,0.788,15,1.5,Existing Customer
M,3,Unknown,Blue,3,3,0,0.883,34,0.789,Existing Customer
F,4,Married,Blue,2,3,3,0.762,37,0.542,Existing Customer
M,2,Single,Blue,6,1,2,0.828,21,1.1,Existing Customer
M,1,Married,Blue,5,2,3,1.283,30,0.667,Existing Customer
F,1,Married,Blue,6,0,0,0.813,44,1.095,Existing Customer
M,4,Divorced,Blue,6,3,2,0.618,31,0.824,Existing Customer
M,4,Married,Blue,4,3,0,0.56,32,0.391,Existing Customer
M,3,Married,Blue,5,3,3,0.939,21,1.625,Existing Customer
M,4,Divorced,Blue,5,1,2,0.588,35,0.346,Existing Customer
F,0,Married,Blue,2,2,2,1.674,24,3,Existing Customer
M,3,Single,Blue,6,1,0,0.791,37,1.056,Existing Customer
